20;Feminino;CIDADE INTERIOR PI;PÚBLICA ESTADUAL;AC;10;10;EXCEDENTE
16;Feminino;CIDADE INTERIOR PI;PÚBLICA ESTADUAL;SC3;9;14;APROVADO
15;Feminino;CIDADE INTERIOR PI;PÚBLICA MUNICIPAL;SC2;9;17;APROVADO
15;Masculino;CIDADE INTERIOR PI;PÚBLICA ESTADUAL;SC3;2;11;EXCEDENTE
15;Feminino;CIDADE INTERIOR MA;PÚBLICA ESTADUAL;AC;7;13;EXCEDENTE
14;Feminino;CIDADE INTERIOR PI;PRIVADA;AC;8;17;APROVADO
16;Feminino;CIDADE INTERIOR PI;PÚBLICA FEDERAL;SC4;4;7;APROVADO
15;Feminino;CIDADE INTERIOR PI;PÚBLICA ESTADUAL;SC5;7;9;APROVADO
16;Masculino;CIDADE INTERIOR PI;PÚBLICA ESTADUAL;SC2;7;12;APROVADO
16;Feminino;CIDADE INTERIOR PI;PÚBLICA MUNICIPAL;AC;7;14;EXCEDENTE
15;Masculino;CIDADE INTERIOR PI;PÚBLICA MUNICIPAL;SC2;5;6;EXCEDENTE
15;Masculino;CIDADE INTERIOR PI;PÚBLICA ESTADUAL;SC2;10;12;APROVADO
14;Feminino;CIDADE INTERIOR PI;PÚBLICA ESTADUAL;SC3;6;13;EXCEDENTE
23;Feminino;CIDADE INTERIOR PI;PÚBLICA MUNICIPAL;SC3;7;8;EXCEDENTE
15;Feminino;CIDADE INTERIOR PI;PÚBLICA ESTADUAL;AC;6;14;EXCEDENTE
15;Masculino;CIDADE INTERIOR PI;PÚBLICA MUNICIPAL;SC3;0;8;ELIMINADO
14;Feminino;CIDADE INTERIOR PI;PRIVADA;AC;10;14;EXCEDENTE
15;Feminino;CIDADE INTERIOR PI;PRIVADA;AC;5;8;EXCEDENTE
15;Masculino;CIDADE INTERIOR PI;PÚBLICA MUNICIPAL;AC;14;12;APROVADO
16;Feminino;CIDADE INTERIOR PI;PRIVADA;AC;7;10;EXCEDENTE
16;Feminino;SUL (Teresina);PÚBLICA ESTADUAL;SC3;6;11;EXCEDENTE
19;Feminino;CIDADE INTERIOR PI;PÚBLICA MUNICIPAL;SC3;4;14;EXCEDENTE
15;Feminino;CIDADE INTERIOR PI;PRIVADA;AC;17;19;APROVADO
15;Feminino;CIDADE INTERIOR PI;PÚBLICA ESTADUAL;AC;5;13;EXCEDENTE
14;Feminino;CIDADE INTERIOR PI;PRIVADA;AC;9;12;EXCEDENTE
16;Feminino;CIDADE INTERIOR MA;PRIVADA;AC;6;7;EXCEDENTE
14;Feminino;CIDADE INTERIOR PI;PÚBLICA ESTADUAL;AC;12;13;APROVADO
14;Feminino;CIDADE INTERIOR PI;PRIVADA;AC;14;12;APROVADO
14;Masculino;CIDADE INTERIOR PI;PRIVADA;AC;8;11;EXCEDENTE
15;Feminino;CIDADE INTERIOR PI;PÚBLICA MUNICIPAL;AC;7;14;EXCEDENTE
14;Masculino;CIDADE INTERIOR PI;PÚBLICA ESTADUAL;SC2;16;18;APROVADO
17;Masculino;CIDADE INTERIOR PI;PÚBLICA ESTADUAL;AC;0;0;ELIMINADO
15;Feminino;CIDADE INTERIOR PI;PRIVADA;AC;0;0;ELIMINADO
16;Feminino;CIDADE INTERIOR PI;PRIVADA;AC;8;14;EXCEDENTE
14;Feminino;CIDADE INTERIOR PI;PÚBLICA MUNICIPAL;SC2;9;13;APROVADO
15;Feminino;CIDADE INTERIOR PI;PRIVADA;AC;18;18;APROVADO
16;Feminino;CIDADE INTERIOR PI;PÚBLICA MUNICIPAL;AC;8;8;EXCEDENTE
16;Feminino;CIDADE INTERIOR PI;PÚBLICA ESTADUAL;SC2;0;0;ELIMINADO
14;Feminino;CIDADE INTERIOR PI;PÚBLICA MUNICIPAL;SC2;9;7;EXCEDENTE
15;Feminino;CIDADE INTERIOR PI;PÚBLICA MUNICIPAL;AC;2;10;EXCEDENTE
15;Feminino;CIDADE INTERIOR PI;PÚBLICA MUNICIPAL;SC2;0;0;ELIMINADO
14;Masculino;CIDADE INTERIOR PI;PÚBLICA MUNICIPAL;AC;5;13;EXCEDENTE
15;Feminino;CIDADE INTERIOR PI;PÚBLICA ESTADUAL;SC2;7;7;EXCEDENTE
15;Feminino;CIDADE INTERIOR PI;PÚBLICA ESTADUAL;SC2;8;9;EXCEDENTE
15;Feminino;CIDADE INTERIOR PI;PRIVADA;AC;5;7;EXCEDENTE
15;Feminino;CIDADE INTERIOR PI;PÚBLICA ESTADUAL;SC2;15;16;APROVADO
15;Feminino;CIDADE INTERIOR PI;PÚBLICA MUNICIPAL;SC1;3;10;APROVADO
16;Masculino;CIDADE INTERIOR PI;PRIVADA;AC;11;16;APROVADO
17;Feminino;CIDADE INTERIOR PI;PÚBLICA MUNICIPAL;AC;6;3;EXCEDENTE
15;Feminino;CIDADE INTERIOR PI;PÚBLICA MUNICIPAL;SC2;5;5;EXCEDENTE
16;Feminino;CIDADE INTERIOR PI;PRIVADA;AC;9;11;EXCEDENTE
16;Feminino;CIDADE INTERIOR PI;PÚBLICA MUNICIPAL;SC2;8;8;EXCEDENTE
15;Feminino;CIDADE INTERIOR PI;PRIVADA;AC;9;17;APROVADO
15;Feminino;CIDADE INTERIOR PI;PÚBLICA ESTADUAL;SC2;8;9;EXCEDENTE
15;Feminino;CIDADE INTERIOR PI;PRIVADA;AC;13;13;APROVADO
14;Feminino;CIDADE INTERIOR MA;PRIVADA;AC;4;8;EXCEDENTE
